feature,n,mae,rmse,max_abs
PSAs*NSAi,52,2334.8281166824386,2703.7739573793615,5382.224879683901
NSAs*PSAi,52,2206.5241422335926,2356.1292345637758,4528.565356212001
Overall variance (sigma^2_tot),52,335.7138079286538,346.5252689718763,556.36529794
Negative variance,52,171.98381809826924,181.07430559954065,312.7328045
Positive variance,52,163.72998982596152,168.56878981365486,255.57722052
Total Surface area,52,149.18800000000002,149.84002404526174,190.111
qPSA,52,129.78478846153845,134.3743627089718,254.966
Product of sigma^2_tot and miu,52,79.92327420480768,82.28519897975453,135.70362765
Volume,52,72.96495557692307,73.97940831327332,95.4425
QNPSA,52,60.217309615384615,72.3427191814754,213.40049999999997
Overall surface area,52,61.221617499999994,62.68626406796305,102.25138000000004
Negative surface area,52,52.33199269230769,55.704884404939364,94.99492999999998
QPSA,52,33.481642115384616,49.36767026876592,174.17266
qNPSA,52,24.942826923076925,31.749467901355935,83.512
Maximal value,52,25.93734192307693,30.354441103886394,51.523179999999996
NSAs+PSAi,52,24.612690192307692,26.318066251748824,48.11656000000001
Negative average value,52,25.350030264230767,25.874486142706246,34.96987397
Internal charge separation (Pi),52,23.21565749326923,23.502614636962054,30.837516079999997
Positive average value,52,22.49290695711538,22.70132649264965,28.75664946
PSAs+NSAi,52,19.28787634615385,21.8750980946194,40.853740000000016
Positive surface area,52,19.28787634615385,21.8750980946194,40.853740000000016
Minimal value,52,17.05619307692308,20.419536166112607,44.316419999999994
PSAs*NSAi/overall surface,52,4.679136341114873,6.18548668167503,13.9835605374146
Overall average value,52,2.5727766982692306,2.7201983524428415,4.287221000000001
MaxESP,52,0.3247348653846153,0.6587557250055563,2.672532
MinESP,52,0.15544501923076923,0.2531800599429417,0.968529
LUMOs-LUMO+10i,52,0.12989950000000003,0.21429888217286266,0.6916610000000001
LUMO+1s-LUMO+10i,52,0.12822746153846157,0.21309193112237151,0.683951
LUMO+2s-LUMO+10i,52,0.12757867307692308,0.21261656760880607,0.683967
LUMO+3s-LUMO+10i,52,0.12402026923076925,0.21012256398057116,0.678694
LUMO+10s-LUMO+10i,52,0.12323344230769231,0.20962969092265277,0.6802410000000001
LUMO+4s-LUMO+10i,52,0.12218265384615387,0.20895399819559107,0.680608
LUMO+8s-LUMO+10i,52,0.12202444230769229,0.20886733979679176,0.6810150000000001
LUMO+6s-LUMO+10i,52,0.1218995576923077,0.20871485376082807,0.678949
LUMO+5s-LUMO+10i,52,0.1202222307692308,0.20761953454743198,0.678428
LUMO+7s-LUMO+10i,52,0.12024700000000005,0.20760601750319876,0.677616
LUMO+9s-LUMO+10i,52,0.11935417307692307,0.2070142775864376,0.6768790000000001
HOMOs-LUMO+10i,52,0.11840332692307692,0.206235487740956,0.674437
HOMO-10s-LUMO+10i,52,0.11763559615384615,0.2057861370137884,0.6722540000000001
HOMO-9s-LUMO+10i,52,0.11720359615384618,0.20542470611445823,0.6703950000000001
HOMO-6s-LUMO+10i,52,0.11714848076923076,0.20538811362791815,0.67033
HOMO-1s-LUMO+10i,52,0.11572740384615383,0.20445312925653272,0.6698240000000001
HOMO-7s-LUMO+10i,52,0.11570294230769232,0.2044403367653055,0.6674779999999999
HOMO-2s-LUMO+10i,52,0.11553348076923076,0.20432462553067363,0.6691140000000001
HOMO-5s-LUMO+10i,52,0.11431728846153849,0.20386002278632834,0.6742779999999999
HOMO-8s-LUMO+10i,52,0.11379165384615383,0.20322853868963153,0.665359
HOMO-3s-LUMO+10i,52,0.11267276923076926,0.2025218885192033,0.6643779999999999
